battle_id,prompt_category,model_a,model_b,winner,battle_timestamp
41,Coding,claude-3-5-sonnet,deepseek-v3,tie,2026-07-05 12:35:42
42,Roleplay,llama-3-1-405b,gpt-4o,model_b,2026-07-10 14:50:21
43,Creative,gemini-1-5-pro,mistral-large,model_a,2026-07-12 11:25:08
44,Coding,claude-3-opus,llama-4-405b,model_b,2026-01-28 15:40:55
45,Reasoning,deepseek-r1,gpt-5,model_a,2026-02-08 10:55:33
46,Roleplay,gemma-2-27b,claude-3-7-sonnet,tie,2026-02-22 13:15:47
47,Coding,phi-3-medium,gemini-2-0-pro,model_b,2026-03-08 09:30:19
48,Reasoning,mixtral-8x22b,llama-3-70b,model_a,2026-03-18 16:45:02
49,Creative,qwen-2-72b,gpt-4o-mini,model_b,2026-04-02 12:10:38
50,Coding,claude-3-5-sonnet,llama-3-1-405b,model_a,2026-04-12 14:25:51
51,Roleplay,gpt-4o,deepseek-v3,tie,2026-04-22 11:00:14
52,Reasoning,gemini-1-5-pro,claude-3-opus,model_b,2026-05-02 15:35:29
53,Creative,mistral-large,gpt-5,model_a,2026-05-12 08:50:43
54,Coding,llama-4-405b,claude-3-7-sonnet,model_b,2026-05-22 13:15:37
55,Roleplay,deepseek-r1,gemini-2-0-pro,tie,2026-06-02 10:40:22
56,Coding,gpt-4o-mini,phi-3-medium,model_a,2026-06-12 17:05:09
57,Reasoning,llama-3-1-70b,gemma-2-27b,model_b,2026-06-22 12:30:51
58,Creative,claude-3-5-sonnet,qwen-2-72b,model_a,2026-07-02 09:55:33
59,Coding,gemini-1-5-flash,mixtral-8x22b,model_b,2026-07-07 14:20:47
60,Roleplay,gpt-5,llama-3-1-405b,model_a,2026-01-30 16:10:28
61,Coding,claude-3-opus,deepseek-v3,tie,2026-02-14 11:35:12
62,Reasoning,mistral-large,gpt-4o,model_b,2026-02-28 15:50:44
63,Creative,llama-4-405b,claude-3-7-sonnet,model_a,2026-03-12 10:15:59
64,Coding,gemini-2-0-pro,phi-3-medium,model_b,2026-03-22 14:40:33
65,Roleplay,gemma-2-27b,llama-3-70b,tie,2026-04-08 09:25:17
66,Reasoning,deepseek-r1,gpt-4o-mini,model_a,2026-04-18 13:50:41
67,Coding,claude-3-5-sonnet,gemini-1-5-pro,model_b,2026-05-08 16:15:22
68,Creative,qwen-2-72b,mistral-large,model_a,2026-05-18 12:40:55
69,Roleplay,llama-3-1-70b,claude-3-opus,model_b,2026-06-08 08:55:38
70,Coding,gpt-5,deepseek-v3,tie,2026-06-18 14:20:11
71,Reasoning,gemini-1-5-flash,llama-4-405b,model_a,2026-07-03 11:05:44
72,Creative,phi-3-medium,gpt-4o,model_b,2026-07-08 15:30:27
73,Coding,claude-3-7-sonnet,mixtral-8x22b,model_a,2026-01-12 10:45:19
74,Roleplay,gemma-2-27b,deepseek-r1,tie,2026-01-24 13:10:52
75,Coding,llama-3-1-405b,claude-3-5-sonnet,model_b,2026-02-04 17:35:36
76,Reasoning,gpt-4o,gemini-2-0-pro,model_a,2026-02-16 12:00:48
77,Creative,deepseek-v3,llama-3-70b,model_b,2026-02-26 09:25:21
78,Coding,mistral-large,gpt-5,tie,2026-03-06 14:50:03
79,Roleplay,claude-3-opus,phi-3-medium,model_a,2026-03-16 11:15:37
80,Reasoning,gemini-1-5-pro,qwen-2-72b,model_b,2026-03-26 15:40:19
81,Coding,llama-4-405b,claude-3-7-sonnet,model_a,2026-04-06 10:05:52
82,Creative,gpt-4o-mini,deepseek-r1,tie,2026-04-16 16:30:44
83,Roleplay,gemma-2-27b,mixtral-8x22b,model_b,2026-04-26 12:55:27
84,Coding,claude-3-5-sonnet,gpt-4o,model_a,2026-05-06 08:20:09
85,Reasoning,llama-3-1-70b,gemini-1-5-flash,model_b,2026-05-16 13:45:33
86,Creative,deepseek-v3,llama-3-1-405b,model_a,2026-05-26 17:10:16
87,Coding,mistral-large,claude-3-opus,tie,2026-06-06 11:35:48
88,Roleplay,gpt-5,gemini-2-0-pro,model_b,2026-06-16 15:00:31
89,Coding,phi-3-medium,claude-3-7-sonnet,model_a,2026-07-06 09:25:14
90,Reasoning,qwen-2-72b,gpt-4o-mini,model_b,2026-07-11 14:50:47
91,Coding,llama-4-405b,deepseek-r1,tie,2026-01-19 10:15:29
92,Roleplay,gemma-2-27b,gemini-1-5-pro,model_a,2026-01-29 16:40:12
93,Creative,claude-3-5-sonnet,mixtral-8x22b,model_b,2026-02-09 12:05:45
94,Coding,gpt-4o,llama-3-70b,model_a,2026-02-19 08:30:28
95,Reasoning,deepseek-v3,claude-3-opus,tie,2026-03-01 13:55:51
96,Roleplay,gemini-2-0-pro,gpt-5,model_b,2026-03-11 17:20:33
97,Coding,llama-3-1-405b,phi-3-medium,model_a,2026-03-21 11:45:17
98,Creative,claude-3-7-sonnet,mistral-large,model_b,2026-04-01 15:10:40
99,Coding,deepseek-r1,gemma-2-27b,tie,2026-04-11 09:35:23
100,Reasoning,qwen-2-72b,llama-4-405b,model_a,2026-04-21 14:00:56
101,Coding,gpt-4o-mini,claude-3-5-sonnet,model_b,2026-05-01 10:25:39
102,Roleplay,gemini-1-5-flash,gpt-4o,tie,2026-05-11 16:50:12
103,Creative,llama-3-1-70b,deepseek-v3,model_a,2026-05-21 12:15:45
104,Coding,claude-3-opus,gemini-2-0-pro,model_b,2026-06-01 08:40:28
105,Reasoning,mixtral-8x22b,phi-3-medium,model_a,2026-06-11 13:05:51
106,Coding,gpt-5,llama-3-1-405b,tie,2026-06-21 17:30:34
107,Roleplay,claude-3-7-sonnet,gemma-2-27b,model_b,2026-07-01 11:55:07
108,Coding,deepseek-r1,mistral-large,model_a,2026-07-09 15:20:40
109,Reasoning,llama-4-405b,gpt-4o,model_b,2026-01-21 09:45:23
110,Coding,gemini-1-5-pro,claude-3-5-sonnet,tie,2026-02-01 14:10:56
111,Creative,qwen-2-72b,deepseek-v3,model_a,2026-02-11 10:35:29
112,Roleplay,phi-3-medium,llama-3-70b,model_b,2026-02-21 16:00:12
113,Coding,gpt-4o-mini,gemini-2-0-pro,model_a,2026-03-03 12:25:45
114,Reasoning,claude-3-opus,mixtral-8x22b,tie,2026-03-13 08:50:18
115,Coding,llama-3-1-405b,gpt-5,model_b,2026-03-23 13:15:51
116,Creative,deepseek-r1,claude-3-7-sonnet,model_a,2026-04-03 17:40:24
117,Roleplay,gemma-2-27b,llama-4-405b,model_b,2026-04-13 11:05:47
118,Coding,mistral-large,gpt-4o,tie,2026-04-23 15:30:20
119,Reasoning,gemini-1-5-flash,phi-3-medium,model_a,2026-05-03 09:55:33
120,Coding,claude-3-5-sonnet,qwen-2-72b,model_b,2026-05-13 14:20:56
